,SampleID,year,Locality,Depth_proxy,Horizon
469,A0,2019,Dry,0-15cm,NA
470,A1,2019,Dry,0-15cm,NA
758,A2,2019,Dry,0-15cm,NA
759,A3,2019,Dry,16-30cm,NA
760,A4,2019,Dry,31-45cm,NA
761,A5,2019,Dry,76-90cm,NA
762,AP,2019,Dry,0-15cm,NA
471,B0,2019,Dry,0-15cm,NA
763,B1,2019,Dry,0-15cm,NA
764,B2,2019,Dry,0-15cm,NA
765,B3,2019,Dry,16-30cm,NA
766,B4,2019,Dry,31-45cm,NA
767,B5,2019,Dry,61-75cm,NA
472,C0,2019,Dry,0-15cm,NA
473,C1,2019,Dry,0-15cm,NA
474,C2,2019,Dry,0-15cm,NA
475,C3,2019,Dry,16-30cm,NA
768,C4,2019,Dry,46-60cm,NA
769,C5,2019,Dry,61-75cm,NA
770,C6,2019,Dry,91-105cm,NA
476,D0,2019,Control,0-15cm,NA
477,D1,2019,Control,0-15cm,NA
478,D2,2019,Control,16-30cm,NA
479,D3,2019,Control,31-45cm,NA
480,D4,2019,Control,46-60cm,NA
771,D5,2019,Control,61-75cm,NA
481,E0,2019,Control,0-15cm,NA
482,E1,2019,Control,16-30cm,NA
483,E2,2019,Control,16-30cm,NA
484,E3,2019,Control,31-45cm,NA
485,E4,2019,Control,46-60cm,NA
486,F0,2019,Control,0-15cm,NA
487,F1,2019,Control,16-30cm,NA
488,F2,2019,Control,31-45cm,NA
489,F3,2019,Control,46-60cm,NA
490,G0,2019,Wet,0-15cm,NA
491,G1,2019,Wet,16-30cm,NA
492,G2,2019,Wet,31-45cm,NA
493,G3,2019,Wet,46-60cm,NA
494,G4,2019,Wet,76-90cm,NA
772,G5,2019,Wet,91-105cm,NA
495,H0,2019,Wet,0-15cm,NA
496,H1,2019,Wet,16-30cm,NA
773,H2,2019,Wet,16-30cm,NA
497,H3,2019,Wet,46-60cm,NA
774,H4,2019,Wet,76-90cm,NA
498,H5,2019,Wet,91-105cm,NA
775,H6,2019,Wet,106-120cm,NA
499,I0,2019,Wet,0-15cm,NA
500,I1,2019,Wet,16-30cm,NA
501,I2,2019,Wet,31-45cm,NA
502,I3,2019,Wet,61-75cm,NA
503,I4,2019,Wet,91-105cm,NA
776,I5,2019,Wet,106-120cm,NA
777,I6,2019,Wet,106-120cm,NA
504,I7,2019,Wet,106-120cm,NA
1077,4,2021,Dry,0-15cm,Subsoil
1078,7,2021,Dry,61-75cm,Subsoil
1079,12,2021,Dry,46-60cm,Subsoil
1080,13,2021,Dry,0-15cm,Topsoil
1081,16,2021,Dry,46-60cm,Subsoil
1082,21,2021,Wet,46-60cm,Subsoil
1083,22,2021,Wet,91-105cm,Subsoil
1084,26,2021,Wet,0-15cm,Topsoil
1085,30,2021,Wet,46-60cm,Subsoil
1086,32,2021,Wet,46-60cm,Subsoil
1087,36,2021,Wet,46-60cm,Subsoil
1088,49,2021,Intact,31-45cm,Subsoil
1131,5,2021,Dry,0-15cm,Subsoil
1132,6,2021,Dry,16-30cm,Subsoil
1133,8,2021,Dry,0-15cm,Topsoil
1134,10,2021,Dry,46-60cm,Subsoil
1135,14,2021,Dry,46-60cm,Subsoil
910,1,2021,Dry,0-15cm,Organic Layer
911,2,2021,Dry,0-15cm,Topsoil
912,3,2021,Dry,0-15cm,Topsoil
913,9,2021,Dry,0-15cm,Topsoil
914,11,2021,Dry,0-15cm,Topsoil
915,15,2021,Dry,0-15cm,Topsoil
916,17,2021,Wet,0-15cm,Organic Layer
917,18,2021,Wet,0-15cm,Organic Layer
918,19,2021,Wet,0-15cm,Topsoil
919,20,2021,Wet,16-30cm,Subsoil
920,23,2021,Wet,76-90cm,CryoOM
921,24,2021,Wet,91-105cm,CryoOM
922,25,2021,Wet,0-15cm,CryoOM
923,27,2021,Wet,0-15cm,Topsoil
924,28,2021,Wet,46-60cm,Subsoil
925,29,2021,Wet,0-15cm,Topsoil
926,31,2021,Wet,0-15cm,Topsoil
927,33,2021,Wet,0-15cm,Topsoil
928,34,2021,Wet,46-60cm,Subsoil
929,35,2021,Wet,0-15cm,Topsoil
930,37,2021,Intact,0-15cm,Organic Layer
931,38,2021,Intact,0-15cm,Organic Layer
932,39,2021,Intact,16-30cm,Organic Layer
933,40,2021,Intact,31-45cm,Topsoil
934,41,2021,Intact,31-45cm,Subsoil
935,42,2021,Intact,31-45cm,Topsoil
936,43,2021,Intact,31-45cm,Subsoil
937,44,2021,Intact,46-60cm,Topsoil
938,45,2021,Intact,46-60cm,Subsoil
939,46,2021,Intact,0-15cm,CryoOM
940,47,2021,Intact,31-45cm,CryoOM
941,48,2021,Intact,31-45cm,Topsoil
942,50,2021,Intact,31-45cm,Topsoil
943,51,2021,Intact,46-60cm,Subsoil
944,52,2021,Intact,0-15cm,CryoOM
778,A2,2019,NA,NA,NA
779,A3,2019,NA,NA,NA
780,A4,2019,NA,NA,NA
781,A5,2019,NA,NA,NA
782,AP,2019,NA,NA,NA
783,B1,2019,NA,NA,NA
784,B2,2019,NA,NA,NA
785,B3,2019,NA,NA,NA
786,B4,2019,NA,NA,NA
787,B5,2019,NA,NA,NA
788,C4,2019,NA,NA,NA
789,C5,2019,NA,NA,NA
790,C6,2019,NA,NA,NA
791,D5,2019,NA,NA,NA
792,G5,2019,NA,NA,NA
793,H2,2019,NA,NA,NA
794,H4,2019,NA,NA,NA
795,H6,2019,NA,NA,NA
796,I5,2019,NA,NA,NA
