,SampleID,year,Locality,Depth_proxy,Horizon,group,MG,MT,group2,Mean depth [cm],Moisture,pH,SOC,N,C/N ratio,BS,Temp,DOC,DN,mcrA_Total,pmoA_Total,pmoA_Active
A0,A0,2019,Dry,0-15cm,NA,2019-Dry,0,0,2019-Dry-0-15cm,2,65,,,,,,,88285.7,3565.7,0.00E+00,1.10E+05,1.16E+06
A1,A1,2019,Dry,0-15cm,NA,2019-Dry,0,0.006773679,2019-Dry-0-15cm,5,14,4.06,24.97,1.21,20.63636364,23.77775766,14.3,7477.9,432.3,0.00E+00,0.00E+00,5.84E+04
A2,A2,2019,Dry,0-15cm,NA,2019-Dry,0,0.000870133,2019-Dry-0-15cm,9,6.060606061,4.56,10.77,0.61,17.6557377,25.61614164,13.8,2746.5,205.7,2.08E+07,2.35E+04,1.29E+05
A3,A3,2019,Dry,16-30cm,NA,2019-Dry,0,0,2019-Dry-16-30cm,19,6.557377049,5.07,3.37,0.38,8.868421053,51.03930811,13.6,1841.8,170.2,0.00E+00,0.00E+00,1.80E+04
A4,A4,2019,Dry,31-45cm,NA,2019-Dry,0,0,2019-Dry-31-45cm,44,12.72727273,5.42,2.2,0.36,6.111111111,65.2748563,12,4975.2,236.8,0.00E+00,2.14E+04,7.00E+04
A5,A5,2019,Dry,76-90cm,NA,2019-Dry,0.000415935,0.001432665,2019-Dry-76-90cm,86,9.433962264,5.54,3.67,0.45,8.155555556,66.6455004,10,1931.2,189.5,0.00E+00,1.17E+05,4.15E+04
AP,AP,2019,Dry,0-15cm,NA,2019-Dry,0,0,2019-Dry-0-15cm,0,14.51612903,,5.66,0.5,11.32,42.93363444,,1704.4,318.8,9.30E+07,5.82E+04,7.39E+04
B0,B0,2019,Dry,0-15cm,NA,2019-Dry,0,0,2019-Dry-0-15cm,4,68.62745098,,317.73,11.97,26.54385965,64.63251537,,66236.3,3027.5,9.62E+08,2.86E+05,2.38E+06
B1,B1,2019,Dry,0-15cm,NA,2019-Dry,0,0.005166309,2019-Dry-0-15cm,8,11.32075472,3.99,29.86,1.39,21.48201439,27.63512797,12.5,8524,535.1,1.65E+08,4.37E+04,4.69E+04
B2,B2,2019,Dry,0-15cm,NA,2019-Dry,0,0.001187648,2019-Dry-0-15cm,12,8.474576271,3.98,20.22,1.08,18.72222222,22.21752221,12.9,3736.7,258.9,4.51E+07,7.43E+03,4.73E+04
B3,B3,2019,Dry,16-30cm,NA,2019-Dry,0,0,2019-Dry-16-30cm,20,6.097560976,4.55,5.06,0.48,10.54166667,32.43959524,12.1,3522.8,249.1,0.00E+00,2.06E+04,5.00E+04
B4,B4,2019,Dry,31-45cm,NA,2019-Dry,0,0,2019-Dry-31-45cm,40,9.259259259,5.2,2.95,0.38,7.763157895,64.93810263,10.6,4339.8,306.3,1.70E+07,5.80E+03,1.70E+05
B5,B5,2019,Dry,61-75cm,NA,2019-Dry,0,0,2019-Dry-61-75cm,72,10.14492754,5.11,4.15,0.44,9.431818182,73.29945259,8.5,2568.6,256.1,2.27E+07,7.59E+03,3.33E+04
C0,C0,2019,Dry,0-15cm,NA,2019-Dry,0,0,2019-Dry-0-15cm,3,66.66666667,,295.83,12.56,23.55334395,54.68730421,,68220,2739.2,0.00E+00,2.91E+06,2.33E+06
C1,C1,2019,Dry,0-15cm,NA,2019-Dry,0,0.00967348,2019-Dry-0-15cm,5,13.20754717,4.05,50.67,2.54,19.9488189,36.53896355,13.4,7191.9,357.3,3.03E+08,2.51E+05,1.35E+05
C2,C2,2019,Dry,0-15cm,NA,2019-Dry,0,0.005680623,2019-Dry-0-15cm,9,15.38461538,4.08,20.9,1.23,16.99186992,26.84653682,12.3,4412.9,269.6,8.04E+08,5.13E+05,2.08E+05
C3,C3,2019,Dry,16-30cm,NA,2019-Dry,0,0,2019-Dry-16-30cm,19,10.1010101,4.7,5.45,0.44,12.38636364,37.79785095,12.5,2948.9,169.4,0.00E+00,5.19E+04,9.23E+03
C4,C4,2019,Dry,46-60cm,NA,2019-Dry,0,0,2019-Dry-46-60cm,46,11.36363636,5.32,3.18,0.35,9.085714286,69.73230624,11,2241.7,178.2,1.58E+07,7.97E+03,3.70E+03
C5,C5,2019,Dry,61-75cm,NA,2019-Dry,0.002178449,0,2019-Dry-61-75cm,75,12.90322581,5,4.19,0.49,8.551020408,71.04560377,9.6,3979.5,218.7,0.00E+00,0.00E+00,4.14E+03
C6,C6,2019,Dry,91-105cm,NA,2019-Dry,0.001769117,0.000290452,2019-Dry-91-105cm,97,10.16949153,5.33,1.72,0.31,5.548387097,68.77840804,8.7,2520.3,138.8,0.00E+00,0.00E+00,1.72E+04
D0,D0,2019,Intact,0-15cm,NA,2019-Intact,0,0,2019-Intact-0-15cm,5,78.18181818,,,,,,,55595.8,1499.3,0.00E+00,0.00E+00,1.20E+05
D1,D1,2019,Intact,0-15cm,NA,2019-Intact,0,0,2019-Intact-0-15cm,15,29.80769231,5.65,40.21,2,20.105,70.9308512,3.4,9666.3,563.1,0.00E+00,2.54E+04,3.86E+04
