,SampleID,year,Locality,Depth_proxy,Horizon,group,MG,MT,group2,Mean depth [cm],Moisture,pH,SOC,N,C/N ratio,BS,MiA proportion,MiA-OC,MiA-N,MaA proportion,MaA-OC,MaA-N
1,1,2021,Dry,0-15cm,Organic Layer,2021-Dry,0,0,2021-Dry-0-15cm,2.5,81.42857143,4.169,400.66,15.83,25.31017056,61.19312799,,,,,,
2,2,2021,Dry,0-15cm,Topsoil,2021-Dry,0,0.003178456,2021-Dry-0-15cm,0.25,55.88235294,4.341,119.77,4.94,24.24493927,42.993141,,,,,,
3,3,2021,Dry,0-15cm,Topsoil,2021-Dry,0,0.003686397,2021-Dry-0-15cm,1.75,41.37931034,4.619,37.58,2.12,17.72641509,35.37543094,73.96849212,25.14,1.64,25.68142036,86.07,3.29
4,4,2021,Dry,0-15cm,Subsoil,2021-Dry,0,0,2021-Dry-0-15cm,4,36,4.858,18.24,1.2,15.2,31.57377312,85.42135534,22.49,1.61,11.2028007,44.63,2.39
5,5,2021,Dry,0-15cm,Subsoil,2021-Dry,0,0,2021-Dry-0-15cm,9,28.57142857,5.399,5.7,0.5,11.4,39.4186577,94.4736184,4.09,0.45,3.500875219,48.19,1.47
6,6,2021,Dry,16-30cm,Subsoil,2021-Dry,0,0,2021-Dry-16-30cm,20,18.18181818,5.806,3.88,0.46,8.434782609,52.45969338,95.225,4.11,0.38,2.1,34.3,1.12
7,7,2021,Dry,61-75cm,Subsoil,2021-Dry,0.000421783,0,2021-Dry-61-75cm,68.5,21.42857143,6.597,3.84,0.44,8.727272727,66.48405808,95.75106223,3.94,0.39,2.824293927,15.5,0.93
8,8,2021,Dry,0-15cm,Topsoil,2021-Dry,0,0,2021-Dry-0-15cm,,16.66666667,,,,,,,,,,,
9,9,2021,Dry,0-15cm,Topsoil,2021-Dry,0,0.005342832,2021-Dry-0-15cm,4.5,39.28571429,4.648,34.87,1.86,18.74731183,34.54440449,76.06901725,25.21,1.63,23.75593898,91.06,3.64
10,10,2021,Dry,46-60cm,Subsoil,2021-Dry,0,0,2021-Dry-46-60cm,47.5,26.31578947,6.195,4.55,0.47,9.680851064,64.94427629,94.89872468,2.55,0.33,2.600650163,13.03,0.72
11,11,2021,Dry,0-15cm,Topsoil,2021-Dry,0,0,2021-Dry-0-15cm,4.5,29.16666667,4.384,29.59,1.46,20.26712329,26.23143762,73.5816046,13.88,0.86,24.46888278,67.72,2.93
12,12,2021,Dry,46-60cm,Subsoil,2021-Dry,0.000145766,0.002235071,2021-Dry-46-60cm,47.5,23.52941176,6.396,4.15,0.42,9.880952381,68.15210111,93.4,3.75,0.37,2.65,21.6,0.95
